#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::真题词汇
extraction	<b>核心意思</b>：n. 血统、出身；提取<br><b>原文句</b>：Though all the subjects were drawn from a population of European extraction, care was taken to ensure that friends and strangers came from the same population.<br>译：虽然所有受试者都来自欧洲血统人群，研究人员仍确保朋友和陌生人取自同一人群。<br><b>怎么记</b>：be of ... extraction＝具有……血统；extract 是“提取”。<br><b>怎么考</b>：熟词生义：人口研究中不是“抽取”，而是 ancestry/origin。<br><b>真实例句</b>：She is Canadian of Italian extraction.<br>译：她是意大利血统的加拿大人。	<b>作文可用</b>：通常用于正式描述族裔出身。	真题词汇
insignificant	<b>核心意思</b>：adj. 微不足道的；不重要的<br><b>原文句</b>：While 1% may seem insignificant, it is not so to a geneticist.<br>译：1%看起来或许微不足道，但对遗传学家而言并非如此。<br><b>怎么记</b>：in- 否定 + significant“重要的、显著的”。<br><b>怎么考</b>：注意“统计上不显著”常说 statistically insignificant。<br><b>真实例句</b>：A seemingly insignificant habit can shape long-term health.<br>译：一个看似微小的习惯可能影响长期健康。		真题词汇
incredible	<b>核心意思</b>：adj. 难以置信的；极好的<br><b>原文句</b>：[补充语境] The claim may sound incredible, but it must still be judged by the evidence.<br>译：【补充语境】这一说法可能听起来难以置信，但仍须根据证据判断。<br><b>怎么记</b>：in- + credible“可信的”＝难以相信的；口语中也可表示“非常棒”。<br><b>怎么考</b>：2015完形第6空干扰项；原文需要“小得不重要”，而非“难以置信”。<br><b>真实例句</b>：The speed of scientific progress is incredible.<br>译：科学进步的速度令人难以置信。		真题词汇
religious	<b>核心意思</b>：adj. 宗教的；虔诚的<br><b>原文句</b>：[补充语境] The researchers controlled for ethnic background rather than religious belief.<br>译：【补充语境】研究人员控制的是族裔背景，而非宗教信仰。<br><b>怎么记</b>：religion → religious；religious belief/practice。<br><b>怎么考</b>：2015完形第19空干扰项；要由 European extraction 锁定 ethnic。<br><b>真实例句</b>：Religious diversity is common in many modern societies.<br>译：宗教多样性在许多现代社会十分常见。		真题词汇
ethnic	<b>核心意思</b>：adj. 民族的；族裔的<br><b>原文句</b>：The findings do not simply explain people's tendency to befriend those of similar ethnic backgrounds.<br>译：这些发现并不只是解释人们倾向于和族裔背景相似者交朋友。<br><b>怎么记</b>：ethnic background/group/minority 是高频词块。<br><b>怎么考</b>：与 religious、political、economic 区分；extraction 提供族裔线索。<br><b>真实例句</b>：The city is known for its rich ethnic diversity.<br>译：这座城市以丰富的族裔多样性著称。		真题词汇
abdicate	<b>核心意思</b>：v. 退位；放弃职责<br><b>原文句</b>：King Juan Carlos of Spain once insisted, “Kings don't abdicate; they die in their sleep.”<br>译：西班牙国王胡安·卡洛斯曾坚称：“国王不会退位，只会在睡梦中去世。”<br><b>怎么记</b>：ab- 离开 + dic“宣布”→ 宣布离位；也可指放弃责任。<br><b>怎么考</b>：常考政治语境；abdicate responsibility 表示逃避职责。<br><b>真实例句</b>：A leader cannot abdicate responsibility when a crisis occurs.<br>译：危机发生时，领导者不能推卸责任。		真题词汇
the writing is on the wall	<b>核心意思</b>：厄运已有征兆；失败已成定局<br><b>原文句</b>：Does that mean the writing is on the wall for all European royals?<br>译：这是否意味着所有欧洲王室都已显露衰亡征兆？<br><b>怎么记</b>：典故含义是墙上的字已预示结局，不按字面翻译。<br><b>怎么考</b>：常用于作者设问，表示某制度或组织的末日迹象。<br><b>真实例句</b>：After years of falling sales, the writing was on the wall for the company.<br>译：连续多年销量下滑后，这家公司的败局已现。	<b>合并说明</b>：用户所列 on the wall 补全为固定习语 the writing is on the wall。	真题词汇
magnificent	<b>核心意思</b>：adj. 壮丽的；宏伟的；极好的<br><b>原文句</b>：Does that mean the writing is on the wall for all European royals, with their magnificent uniforms and majestic lifestyles?<br>译：这是否意味着那些身着华丽制服、过着威严生活的欧洲王室都将走向末日？<br><b>怎么记</b>：magnificence 是名词；常形容建筑、景色、服饰。<br><b>怎么考</b>：结合 royals 语境理解为“华丽壮观的”，不是简单的 good。<br><b>真实例句</b>：The museum offers a magnificent view of the city.<br>译：从这座博物馆可以看到壮丽的城市景观。		真题词汇
national unity	<b>核心意思</b>：国家团结；民族凝聚力<br><b>原文句</b>：Monarchs can rise above “mere” politics and embody a spirit of national unity.<br>译：君主能够超越“纯粹的”政治，体现国家团结精神。<br><b>怎么记</b>：national 是形容词修饰 unity；不是 nation unity。<br><b>怎么考</b>：常与 embody、promote、strengthen、undermine 搭配。<br><b>真实例句</b>：Mutual respect is essential for maintaining national unity.<br>译：相互尊重对维护国家团结至关重要。	<b>合并说明</b>：纠正 nation unity → national unity。	真题词汇
infest / be infested with	<b>核心意思</b>：v. 大量滋生；侵扰；遍布<br><b>原文句</b>：Europe is the most monarch-infested region in the world, with ten kingdoms.<br>译：欧洲是全世界君主制最密集的地区，拥有十个王国。<br><b>怎么记</b>：infest 多用于害虫或不受欢迎事物；be infested with 是常见结构。<br><b>怎么考</b>：原文 monarch-infested 带有讽刺色彩，不能中性翻译为 merely containing monarchies。<br><b>真实例句</b>：The abandoned building was infested with rats.<br>译：那座废弃建筑里老鼠成灾。	<b>合并说明</b>：真题使用复合形容词 monarch-infested。	真题词汇
have a downside	<b>核心意思</b>：有缺点；存在不利的一面<br><b>原文句</b>：Even so, kings and queens undoubtedly have a downside.<br>译：即便如此，国王和女王无疑也有不利的一面。<br><b>怎么记</b>：downside 与 advantage/upside 对照。<br><b>怎么考</b>：转折词 even so 后进入作者批评，是态度题定位信号。<br><b>真实例句</b>：Remote work has many benefits, but it also has a downside.<br>译：远程办公有很多好处，但也存在不利的一面。	<b>作文可用</b>：用于平衡评价某种趋势或技术。	真题词汇
indefensible	<b>核心意思</b>：adj. 无法辩护的；站不住脚的<br><b>原文句</b>：Their history and sometimes their present behaviour embody outdated and indefensible privileges and inequalities.<br>译：他们的历史以及有时的现实行为，体现了过时且无法辩护的特权和不平等。<br><b>怎么记</b>：in- 否定 + defensible“可辩护的”。<br><b>怎么考</b>：作者态度强烈，程度高于 questionable 或 problematic。<br><b>真实例句</b>：Discrimination on the basis of gender is morally indefensible.<br>译：基于性别的歧视在道德上无法辩护。		真题词汇
